,giants_wins,giants_losses,giants_ties,giants_num_events,temp,sharks_wins,sharks_losses,sharks_ties,sharks_num_events,raiders_wins,raiders_losses,raiders_ties,raiders_num_events,warriors_wins,warriors_losses,warriors_ties,warriors_num_events,49ers_wins,49ers_losses,49ers_ties,49ers_num_events,athletics_wins,athletics_losses,athletics_ties,athletics_num_events,num_events,sum_wins,sum_losses,sports_composite,p_win,p_loss,sum_streak,sum_loss_streak,giants_streak,giants_loss_streak,sharks_streak,sharks_loss_streak,raiders_streak,raiders_loss_streak,warriors_streak,warriors_loss_streak,49ers_streak,49ers_loss_streak,athletics_streak,athletics_loss_streak,date,giants_pe,sharks_pe,raiders_pe,warriors_pe,49ers_pe,athletics_pe,sum_pe,sum_pe_with_na,mean_pe
2013-01-01,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-02,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-02,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5
2013-01-03,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-04,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-05,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-05,0.0,0.0,0.0,-0.55,0.0,0.0,-0.55,-0.55,-0.55
2013-01-06,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-07,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-08,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-09,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-01-09,0.0,0.0,0.0,-0.495,0.0,0.0,-0.495,-0.495,-0.495
2013-01-10,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-11,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-11,0.0,0.0,0.0,0.5545,0.0,0.0,0.5545,0.5545,0.5545
2013-01-12,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-13,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-13,0.0,0.0,0.0,-0.50095,0.0,0.0,-0.50095,-0.50095,-0.50095
2013-01-14,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-15,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-16,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-01-16,0.0,0.0,0.0,-0.450855,0.0,0.0,-0.450855,-0.450855,-0.450855
2013-01-17,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-18,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2013-01-18,0.0,0.0,0.0,-0.4057695,0.0,0.0,-0.4057695,-0.4057695,-0.4057695
2013-01-19,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-19,0.0,0.0,0.0,0.63480745,0.0,0.0,0.63480745,0.63480745,0.63480745
2013-01-20,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-20,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5
2013-01-21,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-01-21,0.0,0.0,0.0,0.571326705,0.0,0.0,0.571326705,0.571326705,0.571326705
2013-01-22,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-01-22,0.0,0.45,0.0,0.0,0.0,0.0,0.45,0.45,0.45
2013-01-23,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-01-23,0.0,0.0,0.0,0.5141940345,0.0,0.0,0.5141940345,0.5141940345,0.5141940345
2013-01-24,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-01-24,0.0,0.405,0.0,0.0,0.0,0.0,0.405,0.405,0.405
2013-01-25,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-01-25,0.0,0.0,0.0,-0.53722536895,0.0,0.0,-0.53722536895,-0.53722536895,-0.53722536895
2013-01-26,,,,,0.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-01-26,0.0,0.3645,0.0,-0.483502832055,0.0,0.0,-0.119002832055,-0.119002832055,-0.0595014160275
2013-01-27,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-01-27,0.0,0.32805,0.0,0.0,0.0,0.0,0.32805,0.32805,0.32805
2013-01-28,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-01-28,0.0,0.0,0.0,0.564847451151,0.0,0.0,0.564847451151,0.564847451151,0.564847451151
2013-01-29,,,,,0.0,1.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,,,,,,,,,2,2.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-01-29,0.0,0.295245,0.0,0.508362706035,0.0,0.0,0.803607706035,0.803607706035,0.401803853018
2013-01-30,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-01-31,,,,,0.0,1.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,,,,,,,,,2,2.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-01-31,0.0,0.2657205,0.0,0.457526435432,0.0,0.0,0.723246935432,0.723246935432,0.361623467716
2013-02-01,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-02,,,,,0.0,0.0,1.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2013-02-02,0.0,-0.76085155,0.0,0.411773791889,0.0,0.0,-0.349077758111,-0.349077758111,-0.174538879056
2013-02-03,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2013-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-04,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2013-02-04,0.0,-0.684766395,0.0,0.0,0.0,0.0,-0.684766395,-0.684766395,-0.684766395
2013-02-05,,,,,0.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,0.0,2.0,-2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-02-05,0.0,-0.6162897555,0.0,-0.6294035873,0.0,0.0,-1.2456933428,-1.2456933428,-0.6228466714
2013-02-06,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-02-06,0.0,0.0,0.0,-0.56646322857,0.0,0.0,-0.56646322857,-0.56646322857,-0.56646322857
2013-02-07,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-08,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2013-02-08,0.0,0.0,0.0,-0.509816905713,0.0,0.0,-0.509816905713,-0.509816905713,-0.509816905713
2013-02-09,,,,,0.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,0.0,2.0,-2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2013-02-09,0.0,-0.55466077995,0.0,-0.458835215142,0.0,0.0,-1.01349599509,-1.01349599509,-0.506747997546
2013-02-10,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2013-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-11,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2013-02-11,0.0,-0.499194701955,0.0,0.0,0.0,0.0,-0.499194701955,-0.499194701955,-0.499194701955
2013-02-12,,,,,0.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,0.0,2.0,-2.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-12,0.0,-0.449275231759,0.0,-0.412951693628,0.0,0.0,-0.862226925387,-0.862226925387,-0.431113462694
2013-02-13,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-14,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-15,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-15,0.0,-0.404347708584,0.0,0.0,0.0,0.0,-0.404347708584,-0.404347708584,-0.404347708584
2013-02-16,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-17,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-18,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,0.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2013-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-19,,,,,0.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2013-02-19,0.0,0.636087062275,0.0,-0.371656524265,0.0,0.0,0.26443053801,0.26443053801,0.132215269005
2013-02-20,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-02-20,0.0,0.0,0.0,0.665509128162,0.0,0.0,0.665509128162,0.665509128162,0.665509128162
2013-02-21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-22,,,,,0.0,0.0,1.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-02-22,0.0,-0.427521643953,0.0,0.598958215345,0.0,0.0,0.171436571393,0.171436571393,0.0857182856964
2013-02-23,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-02-23,0.0,-0.384769479557,0.0,0.0,0.0,0.0,-0.384769479557,-0.384769479557,-0.384769479557
2013-02-24,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-02-24,0.0,0.0,0.0,0.539062393811,0.0,0.0,0.539062393811,0.539062393811,0.539062393811
2013-02-25,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2013-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-02-26,,,,,0.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2013-02-26,0.0,0.653707468398,0.0,-0.51484384557,0.0,0.0,0.138863622828,0.138863622828,0.0694318114141
2013-02-27,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-02-27,0.0,0.0,0.0,-0.463359461013,0.0,0.0,-0.463359461013,-0.463359461013,-0.463359461013
2013-02-28,,,,,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2013-02-28,0.0,-0.411663278442,0.0,0.0,0.0,0.0,-0.411663278442,-0.411663278442,-0.411663278442
2013-03-01,,,,,0.0,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,1,0.0,1.0,-1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2013-03-01,0.0,0.0,0.0,-0.417023514912,0.0,0.0,-0.417023514912,-0.417023514912,-0.417023514912
2013-03-02,,,,,0.0,1.0,0.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2013-03-02,0.0,0.629503049403,0.0,-0.375321163421,0.0,0.0,0.254181885982,0.254181885982,0.127090942991
2013-03-03,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2013-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2013-03-04,,,,,0.0,,,,,,,,,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-03-04,0.0,0.0,0.0,0.662210952921,0.0,0.0,0.662210952921,0.662210952921,0.662210952921
2013-03-05,,,,,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,1,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013-03-05,0.0,0.566552744462,0.0,0.0,0.0,0.0,0.566552744462,0.566552744462,0.566552744462
2013-03-06,,,,,0.0,0.0,1.0,0.0,1.0,,,,,1.0,0.0,0.0,1.0,,,,,,,,,2,1.0,1.0,0.0,0.5,0.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-03-06,0.0,-0.490102529984,0.0,0.595989857629,0.0,0.0,0.105887327645,0.105887327645,0.0529436638227
2013-03-07,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2013-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
